200 2.162
201 4.830
202 10.342
421 4.022
422 3.855
423 3.161
424 6.626
425 2.887
426 4.532
427 6.899
428 3.967
429 3.072
430 3.056
431 3.728
432 4.478
433 3.095
434 2.608
435 4.585
436 3.342
437 3.936
438 5.489
439 3.100
440 4.719
441 6.670
442 4.928
443 2.887
444 5.351
445 10.061
446 3.580
447 4.606
448 3.577
449 6.056
450 2.876
451 2.829
452 7.283
453 2.013
455 3.382
454 4.497
456 4.947
457 5.144
458 4.989
459 4.922
460 5.169
461 1.819
462 4.284
463 2.729
464 7.261
465 4.135
466 2.606
467 4.208
468 4.736
469 1.905
470 4.201
471 4.433
472 4.317
473 2.579
474 2.999
475 4.046
476 7.384
477 1.586
478 5.706
479 4.397
480 1.390
481 3.444
482 4.181
483 4.129
484 6.661
485 2.796
486 5.492
487 9.570
488 1.721
489 3.177
490 2.796
491 2.295
492 5.339
493 5.013
494 2.779
495 2.176
496 4.092
497 3.339
498 9.016
499 3.981
600 4.419
601 2.147
602 5.238
603 5.243
604 7.155
605 7.634
606 3.730
607 2.629
608 6.800
610 7.171
611 1.921
612 3.010
613 5.186
609 2.417
500 3.930
504 1.709
505 6.326
511 8.499
