423262.64 2.162
424149.05 4.830
420912.14 10.342
420542.88 4.022
421542.77 3.855
422152.09 3.161
421414.18 6.626
423712.19 2.887
422151.61 4.532
421919.74 6.899
422099.74 3.967
422782.50 3.072
422908.95 3.056
421459.42 3.728
423487.52 4.478
421751.77 3.095
423476.29 2.608
422719.26 4.585
424363.53 3.342
424221.00 3.936
421010.09 5.489
421909.40 3.100
424165.48 4.719
420563.48 6.670
421545.39 4.928
421370.50 2.887
423103.89 5.351
421830.98 10.061
422946.47 3.580
423999.44 4.606
423567.42 3.577
421858.28 6.056
421349.62 2.876
421485.54 2.829
423802.31 7.283
419892.86 2.013
422157.94 3.382
422288.78 4.497
420152.66 4.947
420135.41 5.144
422141.87 4.989
421546.82 4.922
421200.32 5.169
419909.22 1.819
424037.20 4.284
424211.90 2.729
423768.84 7.261
419436.23 4.135
421660.81 2.606
421243.35 4.208
422385.65 4.736
420223.31 1.905
420025.13 4.201
421732.45 4.433
421575.20 4.317
422980.57 2.579
421688.61 2.999
422605.75 4.046
419194.39 7.384
422945.96 1.586
423474.19 5.706
420117.11 4.397
423354.17 1.390
421759.56 3.444
423231.03 4.181
418976.25 4.129
421620.37 6.661
421603.20 2.796
424118.36 5.492
424430.60 9.570
418646.78 1.721
420077.31 3.177
422409.27 2.796
424020.12 2.295
424818.47 5.339
423356.95 5.013
421580.12 2.779
423888.94 2.176
421462.81 4.092
423182.77 3.339
421411.75 9.016
423219.98 3.981
423267.77 4.419
421176.64 2.147
421646.20 5.238
422198.08 5.243
421724.28 7.155
422159.70 7.634
420223.44 3.730
421759.24 2.629
421608.76 6.800
420042.11 7.171
421775.27 1.921
422981.53 3.010
424050.15 5.186
419712.60 2.417
422770.88 3.930
422381.62 1.709
420602.85 6.326
421598.41 8.499
